name,lat,lon
UNSW Sydney,-33.9062434,151.2346568
Pompeu Fabra University,41.4043275,2.1937054
Indiana University,39.1802358,-86.5093526
Iowa State University,42.0279608,-93.6447375
Georgia Health Sciences University,33.9650066,-83.406673
Erasmus University Rotterdam,51.9176312,4.5259623
University of Delaware,39.6802837,-75.7530984
Boston College,42.3354481,-71.1682665
Arizona State University (Tempe),33.4213174,-111.9331631
National Sun Yat-Sen University,22.6280059,120.2662241
Georgetown University,38.9089393,-77.0745796
University of Liverpool,53.4072429,-2.9658337
University of Amsterdam,52.3681334,4.8898042
Aarhus University,56.1670905,10.2026177
University of Leeds,53.8057925,-1.555111
University of Würzburg,,
University of Groningen,53.2194416,6.5629863
Sun Yat-sen University,23.0996034,113.2923509
Goethe University Frankfurt,50.1723275,8.6307298
Bielefeld University,52.0444616,8.4927162
"Nanyang Technological University, Singapore",1.3484104,103.6829332
University of Nottingham,52.9387428,-1.2002957
University of East Anglia,52.6210623,1.2356187
University of Copenhagen,55.6801502,12.572327
Monash University,-37.7839745,144.9586743
University of Bonn,50.7338124,7.1022465
Humboldt University of Berlin,52.5183402,13.3929202
National Chiao Tung University,24.7867677,120.9972441
RWTH Aachen University,50.7791732,6.0689207
Middle East Technical University,39.8755074,32.7855305
University of Exeter,50.1701604,-5.1241802
University of Twente,52.2433268,6.8509157
University of Konstanz,47.6899569,9.1882624
Karlsruhe Institute of Technology,49.1018534,8.4331202
University of Innsbruck,47.263287,11.3844497
University of Tübingen,48.5340595,9.0712444
Yonsei University,37.2800965,127.901503
University of Cincinnati – Uptown,39.1318991,-84.5157575
Drexel University,39.9569305,-75.1899265
Dalhousie University,44.6362011,-63.5919961
KTH Royal Institute of Technology,59.2016758,17.6203201
University of Vienna,48.2131278,16.3606855
Kent State University,41.1441814,-81.3398329
University of Illinois Chicago,41.8748613,-87.6519866
Zhejiang University,30.521595,120.7195312
Simon Fraser University,49.2767096,-122.917803
Swedish University of Agricultural Sciences,63.8201574,20.3146663
University of Wisconsin-Madison,43.0802745,-89.4309587
University of Texas at Austin,30.2851494,-97.7339352
University of Rochester,43.129864,-77.628784
University of Bern,46.9509726,7.4386841
Hebrew University of Jerusalem,31.7918555,35.244723
University of Florida,29.6411884,-82.3562296
Brandeis University,42.3665095,-71.2580196
Free University of Berlin,,
Chinese University of Hong Kong,22.4140914,114.2100208
University of Warwick,52.3813073,-1.5639569
Radboud University Nijmegen,51.8215173,5.8634329
Medical University of South Carolina,32.7902452,-79.9576415
Texas A&M University,30.6108618,-96.3520606
University of Reading,51.4404358,-0.9417618
Tel Aviv University,32.1123577,34.8050129
Université Catholique de Louvain,50.8212043,4.3495585
Paris Diderot University – Paris 7,,
University of Miami,25.7172725,-80.2787069
Queen’s University,44.2331009,-76.4914971
University of São Paulo,-23.561048,-46.7252264
University of Oslo,59.9414173,10.7227683
University of Ottawa,45.4225271,-75.6833904
The University of Western Australia,-35.0274825,117.8871021
City University of Hong Kong,22.3400205,114.1697162
Maastricht University,50.8472117,5.6859518
University of Leicester,52.6175241,-1.1377672
Paris-Sud University,48.8359184,2.2533598
University of Texas at Dallas,32.9875855,-96.749784
Joseph Fourier University,,
Colorado School of Mines,39.7386338,-105.2246389
University of Antwerp,51.1843856,4.4199387
Technion Israel Institute of Technology,32.7768128,35.0225446
University at Buffalo,43.0019863,-78.7859649
Université Libre de Bruxelles,50.8134719,4.3812357
"Northeastern University, US",42.3351053,-71.0892579
Mines ParisTech,48.6117414,2.4390437
Florida Institute of Technology,28.064271,-80.623004
Boğaziçi University,41.0832734,29.0505009
Scuola Normale Superiore di Pisa,43.7196863,10.400398
TU Dresden,51.0282765,13.7359828
Sungkyunkwan University (SKKU),37.5870459,126.9906264
Istanbul Technical University,41.1045571,29.0263441
Syracuse University,43.0171129,-76.1185536
Sabancı University,40.8927159,29.3786332
Fudan University,31.3011748,121.4974703
Lomonosov Moscow State University,55.7011843,37.5276192
"St George’s, University of London",51.5276574,-0.103605
Autonomous University of Barcelona,41.5015527,2.1062607
University of Cologne,50.9280446,6.9281305
University of Waterloo,43.4701994,-80.5452429
Ulm University,48.4086307,9.9977021
Charité - Universitätsmedizin Berlin,52.5299885,13.3486639
University of Trento,46.0661807,11.1166177
Queen’s University Belfast,54.5842881,-5.9336562
University of Mannheim,49.483885,8.4708736
University of Erlangen-Nuremberg,,
University of Luxembourg,49.5036259,5.9487155
University of Duisburg-Essen,51.4290899,6.800858
Technical University of Berlin,,
University of Alabama at Birmingham,33.5016153,-86.8060476
Aalto University,60.1860789,24.8281018
Tilburg University,51.5630609,5.0435985
Paris-Sorbonne University – Paris 4,48.8494092,2.3482761
Paris Sciences et Lettres – PSL Research University Paris,,
Sorbonne University,48.8468997,2.3574487
University of Bologna,44.4982886,11.354457
Shanghai Jiao Tong University,31.2008912,121.4283949
University of Technology Sydney,-33.8832536,151.2003294
Korea University,36.6108894,127.2934174
Université Paris Cité,48.8514684,2.341089
Télécom Paris,48.7131108,2.199685
University of Canberra,-35.2365904,149.0845097
Yonsei University (Seoul campus),,
University of Hamburg,53.564106,9.9949809
Queensland University of Technology,-27.542195,153.0649526
Institut Polytechnique de Paris,48.7139028,2.2141075
Wuhan University,30.5373773,114.361535
Huazhong University of Science and Technology,30.5202172,114.4118463
Cardiff University,51.4887426,-3.1795999
Macquarie University,-33.774197,151.1127138
Medical University of Graz,47.0808781,15.4692124
Université Paris-Saclay,48.7121501,2.1735087
Ulsan National Institute of Science and Technology (UNIST),35.5735512,129.1899352
University of Münster,51.9673422,7.5992433
Sapienza University of Rome,,
Chalmers University of Technology,57.6897462,11.9765259
